author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27,author28
"Rudestam, KE",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Browne, L","Mehra, S","Rattan, R","Thomas, G",,,,,,,,,,,,,,,,,,,,,,,,
"Galstyan, A","Krishnamachari, B","Lerman, K","Pattem, S",,,,,,,,,,,,,,,,,,,,,,,,
"Kozlowski, D",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shih, TK","Chiu, CF","Hsu, HH","Lin, FH",,,,,,,,,,,,,,,,,,,,,,,,
"Kazmer, MM","Haythornthwaite, C",,,,,,,,,,,,,,,,,,,,,,,,,,
"Hou, Huei-Tse","Wu, Sheng-Yi",,,,,,,,,,,,,,,,,,,,,,,,,,
"Kear, Karen","Woodthorpe, John","Robertson, Sandy","Hutchison, Mike",,,,,,,,,,,,,,,,,,,,,,,,
"Masso, Majid","Vaisman, Iosif I",,,,,,,,,,,,,,,,,,,,,,,,,,
"Yeh, Ming-Feng","Tsai, Cheng-Hung",,,,,,,,,,,,,,,,,,,,,,,,,,
"Legg, Timothy J","Adelman, Deborah","Mueller, Dale","Levitt, Cheryle",,,,,,,,,,,,,,,,,,,,,,,,
"Patriarcheas, Kiriakos","Xenos, Michalis",,,,,,,,,,,,,,,,,,,,,,,,,,
"Choi, Ah-Rin Anna","Tamblyn, Rodney","Stringer, Mark D",,,,,,,,,,,,,,,,,,,,,,,,,
"Guan, Jianfei","Tregonning, Sarah","Keenan, Louanne",,,,,,,,,,,,,,,,,,,,,,,,,
"Michinov, Nicolas","Michinov, Estelle",,,,,,,,,,,,,,,,,,,,,,,,,,
"Ramos, Cheryl","Yudko, Errol",,,,,,,,,,,,,,,,,,,,,,,,,,
"Reynolds, P A","Mason, R","Eaton, K A",,,,,,,,,,,,,,,,,,,,,,,,,
"Chen, Nian-Shing","Wang, Yuping",,,,,,,,,,,,,,,,,,,,,,,,,,
"Yukselturk, Erman","Yildirim, Zahide",,,,,,,,,,,,,,,,,,,,,,,,,,
"Hewitt, Jim","Brett, Clare",,,,,,,,,,,,,,,,,,,,,,,,,,
"Delfino, Manuela","Manca, Stefania",,,,,,,,,,,,,,,,,,,,,,,,,,
"Carley, Simon","Mackway-Jones, Kevin",,,,,,,,,,,,,,,,,,,,,,,,,,
"Lin, Cheng-Jian",,,,,,,,,,,,,,,,,,,,,,,,,,,
