author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27
"kawasaki, s","makuuchi, m","matsunami, h","hashikura, y","ikegami, t","nakazawa, y","chisuwa, h","terada, m","miyagawa, s",,,,,,,,,,,,,,,,,,
"langnas, an","marujo, w","stratta, rj","wood, rp","shaw, bw",,,,,,,,,,,,,,,,,,,,,,
"penn, i",,,,,,,,,,,,,,,,,,,,,,,,,,
"sheiner, pa","schwartz, me","mor, e","schluger, lk","theise, n","kishikawa, k","kolesnikov, v","bodenheimer, h","emre, s","miller, cm",,,,,,,,,,,,,,,,,
"wozney, p","zajko, ab","bron, km","point, s","starzl, te",,,,,,,,,,,,,,,,,,,,,,
"ogrady, jg","smith, hm","davies, se","daniels, hm","donaldson, pt","tan, kc","portmann, b","alexander, gjm","williams, r",,,,,,,,,,,,,,,,,,
"marcos, a","fisher, ra","ham, jm","shiffman, ml","sanyal, aj","luketic, vac","sterling, rk","posner, mp",,,,,,,,,,,,,,,,,,,
"merion, rm","schaubel, de","dykstra, dm","freeman, rb","port, fk","wolfe, ra",,,,,,,,,,,,,,,,,,,,,
"freeman, rb","wiesner, rh","harper, a","mcdiarmid, sv","lake, j","edwards, e","merion, r","wolfe, r","turcotte, j","teperman, l",,,,,,,,,,,,,,,,,
"chazouilleres, o","kim, m","combs, c","ferrell, l","bacchetti, p","roberts, j","ascher, nl","neuwald, p","wilber, j","urdea, m","quan, s","sanchezpescador, r","wright, tl",,,,,,,,,,,,,,
"berenguer, m","prieto, m","rayon, jm","mora, j","pastor, m","ortiz, v","carrasco, d","san juan, f","burgueno, mdj","mir, j","berenguer, j",,,,,,,,,,,,,,,,
"feray, c","gigou, m","samuel, d","paradis, v","wilber, j","david, mf","urdea, m","reynes, m","brechot, c","bismuth, h",,,,,,,,,,,,,,,,,
"llovet, jm","bruix, j","fuster, j","castells, a","garcia-valdecasas, jc","grande, l","franca, a","bru, c","navasa, m","ayuso, md","sole, m","real, mi","vilana, r","rimola, a","visa, j","rodes, j",,,,,,,,,,,
"brown, rs","russo, mw","lai, m","shiffman, ml","richardson, mc","everhart, je","hoofnagle, jh",,,,,,,,,,,,,,,,,,,,
"gonwa, ta","mai, ml","melton, lb","hays, sr","goldstein, rm","levy, mf","klintmalm, gb",,,,,,,,,,,,,,,,,,,,
"pichlmayr, r","ringe, b","gubernatis, g","hauss, j","bunzendahl, h",,,,,,,,,,,,,,,,,,,,,,
"schiff, er","lai, cl","hadziyannis, s","neuhaus, p","terrault, n","colombo, m","tillmann, hl","samuel, d","zeuzem, s","lilly, l","rendina, m","villeneuve, jp","lama, n","james, c","wulfsohn, ms","namini, h","westland, c","xiong, s","choy, gs","van doren, s","fry, j","brosgart, cl",,,,,
"vollmar, b","glasz, j","leiderer, r","post, s","menger, md",,,,,,,,,,,,,,,,,,,,,,
"sanchezurdazpal, l","gores, gj","ward, em","maus, tp","wahlstrom, he","moore, sb","wiesner, rh","krom, raf",,,,,,,,,,,,,,,,,,,
"feray, c","caccamo, l","alexander, gjm","ducot, b","gugenheim, j","casanovas, t","loinaz, c","gigou, m","burra, p","barkholt, l","esteban, r","bizollon, t","lerut, j","minello-franza, a","bernard, ph","nachbaur, g","botta-fridlund, d","bismuth, h","schalm, sw","samuel, d",,,,,,,
"klintmalm, gb",,,,,,,,,,,,,,,,,,,,,,,,,,
"perrillo, rp","wright, t","rakela, j","levy, g","schiff, e","gish, r","martin, p","dienstag, j","adams, p","dickson, r","anschuetz, g","bell, s","condreay, l","brown, n",,,,,,,,,,,,,
"inomata, y","uemoto, s","asonuma, k","egawa, h","kiuchi, t","fujita, s","hayashi, m","kawashima, m","tanaka, k",,,,,,,,,,,,,,,,,,
"fan, st","lo, cm","liu, cl","yong, bh","chan, jkf","ng, iol",,,,,,,,,,,,,,,,,,,,,
"dickson, rc","everhart, je","lake, jr","wei, yl","seaberg, ec","wiesner, rh","zetterman, rk","pruett, tl","ishitani, mb","hoofnagle, jh","detre, km","demetris, aj","lombardero, m","seaberg, e","lawlor, s","fitzgerald, s","haber, j","swanson, gl","wiesner, r","krom, r","porayko, mk","schwerman, l","groettum, c","shaw, b","taylor, k","ascher, n","lake, j"
"snover, dc","sibley, rk","freese, dk","sharp, hl","bloomer, jr","najarian, js","ascher, nl",,,,,,,,,,,,,,,,,,,,
"bismuth, h","samuel, d","gugenheim, j","castaing, d","bernuau, j","rueff, b","benhamou, jp",,,,,,,,,,,,,,,,,,,,
"feray, c","gigou, m","samuel, d","paradis, v","mishiro, s","maertens, g","reynes, m","okamoto, h","bismuth, h","brechot, c",,,,,,,,,,,,,,,,,
"greif, f","bronsther, ol","vanthiel, dh","casavilla, a","iwatsuki, s","tzakis, a","todo, s","fung, jj","starzl, te",,,,,,,,,,,,,,,,,,
"roayaie, s","frischer, js","emre, sh","fishbein, tm","sheiner, pa","sung, m","miller, cm","schwartz, me",,,,,,,,,,,,,,,,,,,
"dalessandro, am","kalayoglu, m","sollinger, hw","hoffmann, rm","reed, a","knechtle, sj","pirsch, jd","hafez, gr","lorentzen, d","belzer, fo",,,,,,,,,,,,,,,,,
"gonwa, ta","klintmalm, gb","levy, m","jennings, ls","goldstein, rm","husberg, bs",,,,,,,,,,,,,,,,,,,,,
"mazzaferro, v","battiston, c","perrone, s","pulvirenti, a","regalia, e","romito, r","sarli, d","schiavo, m","garbagnati, f","marchiano, a","spreafico, c","camerini, t","mariani, l","miceli, r","andreola, s",,,,,,,,,,,,
"samuel, d","bizollon, t","feray, c","roche, b","ahmed, sns","lemonnier, c","cohard, m","reynes, m","chevallier, m","ducerf, c","baulieux, j","geffner, m","albrecht, jk","bismuth, h","trepo, c",,,,,,,,,,,,
"todo, s","furukawa, h",,,,,,,,,,,,,,,,,,,,,,,,,
"ogrady, jg","sutherland, s","harvey, f","calne, ry","alexander, gjm","donaldson, pt","portmann, b","williams, r",,,,,,,,,,,,,,,,,,,
"lerut, j","gordon, rd","iwatsuki, s","esquivel, co","todo, s","tzakis, a","starzl, te",,,,,,,,,,,,,,,,,,,,
"garcia-retortillo, m","forns, x","feliu, a","moitinho, e","costa, j","navasa, m","rimola, a","rodes, j",,,,,,,,,,,,,,,,,,,
"schluger, lk","sheiner, pa","thung, sn","lau, jyn","min, a","wolf, dc","fiel, i","zhang, d","gerber, ma","miller, cm","bodenheimer, hc",,,,,,,,,,,,,,,,
"chazouilleres, o","mamish, d","kim, m","carey, k","ferrell, l","roberts, jp","ascher, nl","wright, tl",,,,,,,,,,,,,,,,,,,
"stratta, rj","wood, rp","langnas, an","hollins, rr","bruder, kj","donovan, jp","burnett, da","lieberman, rp","lund, gb","pillen, tj","markin, rs","shaw, bw",,,,,,,,,,,,,,,
"gao, ws","bentley, rc","madden, jf","clavien, pa",,,,,,,,,,,,,,,,,,,,,,,
"mazariegos, gv","reyes, j","marino, ir","demetris, aj","flynn, b","irish, w","mcmichael, j","fung, jj","starzl, te",,,,,,,,,,,,,,,,,,
"nair, s","verma, s","thuluvath, pj",,,,,,,,,,,,,,,,,,,,,,,,
"hemming, aw","cattral, ms","reed, ai","van der werf, wj","greig, pd","howard, rj",,,,,,,,,,,,,,,,,,,,,
